Component,Type,Location (File),English Text,Context/Notes,Priority
Landing Page,Page Title,LandingPage.tsx,"UN",Brand name,HIGH
Landing Page,Tagline,LandingPage.tsx,"Science Labs",Tagline,HIGH
Landing Page,Hero Title,LandingPage.tsx,"Explore Science",Main page heading,HIGH
Landing Page,Hero Subtitle,LandingPage.tsx,"Interactive simulations and experiments for Physics and Chemistry",Descriptive text,HIGH
Landing Page,Card Title,LandingPage.tsx,"Physics Labs",Section heading,HIGH
Landing Page,Card Description,LandingPage.tsx,"20+ interactive experiments exploring mechanics, waves electromagnetism and modern physics",Feature description,HIGH
Landing Page,Card Tag,LandingPage.tsx,"Simulations",Tag label,MEDIUM
Landing Page,Card Tag,LandingPage.tsx,"3D Models",Tag label,MEDIUM
Landing Page,Card Tag,LandingPage.tsx,"Formulas",Tag label,MEDIUM
Landing Page,Button,LandingPage.tsx,"Enter Physics Lab",CTA button,HIGH
Landing Page,Card Title,LandingPage.tsx,"Chemistry Labs",Section heading,HIGH
Landing Page,Card Description,LandingPage.tsx,"15+ interactive reactions with visual simulations",Feature description,HIGH
Landing Page,Feature Title,LandingPage.tsx,"Real-time 3D",Feature name,MEDIUM
Landing Page,Feature Description,LandingPage.tsx,"Interactive visualizations that bring science to life",Feature detail,MEDIUM
Landing Page,Feature Title,LandingPage.tsx,"Education First",Feature name,MEDIUM
Landing Page,Feature Description,LandingPage.tsx,"Designed to enhance learning with practical tools",Feature detail,MEDIUM
Landing Page,Feature Title,LandingPage.tsx,"Cutting-edge",Feature name,MEDIUM
Landing Page,Feature Description,LandingPage.tsx,"Latest technologies for immersive experiences",Feature detail,MEDIUM
Chemistry Page,Page Title,ChemistryIndex.tsx,"Chemistry Labs",Page heading,HIGH
Chemistry Page,Page Subtitle,ChemistryIndex.tsx,"Interactive Lab",Page description,HIGH
Chemistry Page,Section Title,ChemistryIndex.tsx,"Periodic Table",Section heading,HIGH
Chemistry Page,Section Description,ChemistryIndex.tsx,"Select elements for reactions",Instruction text,HIGH
Chemistry Page,Tab Label,ChemistryIndex.tsx,"Simulator",Tab name,HIGH
Chemistry Page,Tab Abbreviation,ChemistryIndex.tsx,"Sim",Short tab label,HIGH
Chemistry Page,Tab Label,ChemistryIndex.tsx,"Calculators",Tab name,HIGH
Chemistry Page,Tab Abbreviation,ChemistryIndex.tsx,"Calc",Short tab label,HIGH
Chemistry Page,Error Message,ChemistryIndex.tsx,"No reaction found",Error state message,MEDIUM
Chemistry Page,Error Hint,ChemistryIndex.tsx,"Try H+O Na+Cl Fe+S Cu+O etc.",Suggestion text,MEDIUM
Compound Selector,Section Title,CompoundSelector.tsx,"Compound Library",Component heading,HIGH
Compound Selector,Section Description,CompoundSelector.tsx,"Select compounds for advanced reactions",Instruction text,HIGH
Compound Selector,Placeholder,CompoundSelector.tsx,"Search compounds...",Search input placeholder,HIGH
Compound Selector,Label,CompoundSelector.tsx,"Selected Compounds:",Label for selected items,HIGH
Compound Selector,Empty State,CompoundSelector.tsx,"No compounds matching your search",No results message,MEDIUM
Reaction Chamber,Section Title,ReactionChamber.tsx,"Reaction Chamber",Component heading,HIGH
Reaction Chamber,Section Description,ReactionChamber.tsx,"Combine elements and compounds to see reactions",Instruction text,HIGH
Reaction Chamber,Empty State,ReactionChamber.tsx,"Select elements from the periodic table or compounds from the library to begin",Help text,MEDIUM
Reaction Chamber,Button,ReactionChamber.tsx,"React",Action button,HIGH
Reaction History,Section Title,ReactionHistory.tsx,"Recent Reactions",Component heading,HIGH
Reaction History,Counter Singular,ReactionHistory.tsx,"reaction",Counter label (singular),LOW
Reaction History,Counter Plural,ReactionHistory.tsx,"reactions",Counter label (plural),LOW
Reaction Result,Type,ReactionResult.tsx,"Synthesis",Reaction type,HIGH
Reaction Result,Type,ReactionResult.tsx,"Decomposition",Reaction type,HIGH
Reaction Result,Type,ReactionResult.tsx,"Single Replacement",Reaction type,HIGH
Reaction Result,Type,ReactionResult.tsx,"Double Replacement",Reaction type,HIGH
Reaction Result,Type,ReactionResult.tsx,"Combustion",Reaction type,HIGH
Reaction Result,Type,ReactionResult.tsx,"Acid-Base",Reaction type,HIGH
Reaction Result,Type,ReactionResult.tsx,"Redox",Reaction type,HIGH
Reaction Result,Type,ReactionResult.tsx,"Precipitation",Reaction type,HIGH
Reaction Result,Type,ReactionResult.tsx,"Neutralization",Reaction type,HIGH
Reaction Result,Type,ReactionResult.tsx,"Oxidation",Reaction type,HIGH
Element Info Panel,Label,ElementInfoPanel.tsx,"Mass",Property label,HIGH
Element Info Panel,Label,ElementInfoPanel.tsx,"Electronegativity",Property label,HIGH
Element Info Panel,Label,ElementInfoPanel.tsx,"Melting Pt",Property label,HIGH
Element Info Panel,Label,ElementInfoPanel.tsx,"Boiling Pt",Property label,HIGH
Element Info Panel,Label,ElementInfoPanel.tsx,"Config",Property label (abbreviation),HIGH
Element Info Panel,Label,ElementInfoPanel.tsx,"Phase",Property label,HIGH
Element Info Panel,Section Title,ElementInfoPanel.tsx,"Oxidation States",Section heading,HIGH
Element Info Panel,Section Title,ElementInfoPanel.tsx,"Related Reactions",Section heading with count,HIGH
Chemistry Calculator,Section Title,ChemCalculators.tsx,"Calculators",Component heading,HIGH
Chemistry Calculator,Name,ChemCalculators.tsx,"pH / pOH Calculator",Calculator name,HIGH
Chemistry Calculator,Name,ChemCalculators.tsx,"Molarity Calculator",Calculator name,HIGH
Chemistry Calculator,Name,ChemCalculators.tsx,"Moles Calculator",Calculator name,HIGH
Chemistry Calculator,Name,ChemCalculators.tsx,"Dilution Calculator",Calculator name,HIGH
Chemistry Calculator,Name,ChemCalculators.tsx,"Ideal Gas Law",Calculator name,HIGH
Chemistry Calculator,Name,ChemCalculators.tsx,"Gibbs Free Energy",Calculator name,HIGH
Chemistry Calculator,Name,ChemCalculators.tsx,"Equilibrium Constant",Calculator name,HIGH
Chemistry Calculator,Name,ChemCalculators.tsx,"Nernst Equation",Calculator name,HIGH
Chemistry Calculator,Name,ChemCalculators.tsx,"Arrhenius Equation",Calculator name,HIGH
Chemistry Calculator,Name,ChemCalculators.tsx,"Colligative Properties - Boiling",Calculator name,HIGH
Chemistry Calculator,Name,ChemCalculators.tsx,"Colligative Properties - Freezing",Calculator name,HIGH
Chemistry Calculator,Name,ChemCalculators.tsx,"Osmotic Pressure",Calculator name,HIGH
